Apartment,Address,Zip,Contact,Bedrooms,Handicap,Units,Preferred Clientel,to_geocode,lat,lon
16th and Market St,1550 Market St,92101,619.645.3303,"1,2,",No,136.0,,"16th and Market St, 1550 Market St, 92101, San Diego, California",32.7117774,-117.1496862
Alabama Manor,3836 Alabama St,92104,619.955.8075,"1,2",Yes,67.0,Seniors 55+,"Alabama Manor, 3836 Alabama St, 92104, San Diego, California",32.7480099,-117.1425116
Alta Vista Apts,3535-3545 43rd St,92105,619.584.1535,2,No,12.0,,"Alta Vista Apts, 3535-3545 43rd St, 92105, San Diego, California",33.1360675,-117.0960298
Arbor Terrace,3701 Florida St,92104,619.293.3612,"2,3,4",No,69.0,Large Families,"Arbor Terrace, 3701 Florida St, 92104, San Diego, California",32.7454384,-117.1435289
Arbor Village,4914-4998 Logan Ave,92113,619.263.4878,"1,2,",Yes,112.0,,"Arbor Village, 4914-4998 Logan Ave, 92113, San Diego, California",32.6970794,-117.0876715
Atmosphere Apts,1453 Fourth Ave,92101,619.450.4499,"0,1,2,3",Yes,205.0,Families; Homeless,"Atmosphere Apts, 1453 Fourth Ave, 92101, San Diego, California",32.720541,-117.160655
Auburn Park,5135 University Ave,92105,619.255.8767,"0,1,2,3",Yes,69.0,Families,"Auburn Park, 5135 University Ave, 92105, San Diego, California",32.748971,-117.08398
Bandar Salaam,3810 Winona Ave,92105,619.563.5872,"1,2,3,4,5",Yes,68.0,,"Bandar Salaam, 3810 Winona Ave, 92105, San Diego, California",32.746868,-117.088407
Barrio Senior Villas,2322 Newton Ave,92113,619.702.6595,"1,2",Yes,11.0,Seniors; Disabled,"Barrio Senior Villas, 2322 Newton Ave, 92113, San Diego, California",32.9914131,-117.153778
Bella Vista Apts,4742 Solola Ave,92113,619.527.8600,"1,2,",Yes,169.0,,"Bella Vista Apts, 4742 Solola Ave, 92113, San Diego, California",32.6947805,-117.0923895
Beyer Courtyards,3412 Beyer Blvd,92173,619.662.0857,"2,3",Yes,60.0,Large Families,"Beyer Courtyards, 3412 Beyer Blvd, 92173, San Diego, California",32.5651359,-117.0587768
Canyon Rim rd,10845 Via Los Narcisos,92129,858.672.2001,"2,3",Yes,357.0,,"Canyon Rim rd, 10845 Via Los Narcisos, 92129, San Diego, California",32.9726525,-117.0954882
Canyon Vista,3429 43 St,92105,619.521.1263,"1,2,",Yes,8.0,,"Canyon Vista, 3429 43 St, 92105, San Diego, California",32.8838889,-117.2333333
Casa Colina Del Sol,5207 52nd Pl,92105,619.287.2910,1,Yes,75.0,Seniors 62+; Disabled,"Casa Colina Del Sol, 5207 52nd Pl, 92105, San Diego, California",32.7494648,-117.0826505
Cathedral Arms,3911 Park Blvd,92103,619.291.3883,"0,1",No,206.0,Seniors 62+,"Cathedral Arms, 3911 Park Blvd, 92103, San Diego, California",32.7488246,-117.1458232
Cathedral Plaza,1551 Third Ave,92101,858.312.8170,"0,1",Yes,172.0,Seniors 62+,"Cathedral Plaza, 1551 Third Ave, 92101, San Diego, California",32.7214176,-117.1619154
CCBA Senior Garden,438 Third Ave,92101,619.236.8130,"0,1",Yes,172.0,Seniors 55+,"CCBA Senior Garden, 438 Third Ave, 92101, San Diego, California",32.7100825,-117.1621816
Cedar Gateway Apts,1612 6 Ave,92113,619.696.9421,"2,3",Yes,65.0,,"Cedar Gateway Apts, 1612 6 Ave, 92113, San Diego, California",32.7222921,-117.1595701
Cerro Pueblo Apts,2835 Clairemont Dr,92117,619.275.5361,"1,",Yes,45.0,Seniors 62+; Disabled,"Cerro Pueblo Apts, 2835 Clairemont Dr, 92117, San Diego, California",32.79076,-117.1979827
Chandon Village,14350 Camino De La Luna,92127,In person,"1,2,",Yes,10.0,Large Families,"Chandon Village, 14350 Camino De La Luna, 92127, San Diego, California",32.9494848,-117.2061095
Cielo Carmel Apts,6050 Camino San Fermín,92130,858-261-0796,"1,2,3",Yes,197.0,Families,"Cielo Carmel Apts, 6050 Camino San Fermín, 92130, San Diego, California",32.956231,-117.1928036
Citi Scene Apts,4105 Georgia St,92103,619.296.4333,"1,2,",Yes,30.0,,"Citi Scene Apts, 4105 Georgia St, 92103, San Diego, California",32.7524882,-117.1447202
City Heights Square,4065 43 St,92105,619.281.0483,"0,1",Yes,150.0,Seniors 62+,"City Heights Square, 4065 43 St, 92105, San Diego, California",32.7501255,-117.1017608
Colina Park North Apts,4333 Dawson Ave,92115,619.583.7512,"0,1,2",No,64.0,,"Colina Park North Apts, 4333 Dawson Ave, 92115, San Diego, California",32.755763,-117.0823044
Columbia Tower,904 State St,92101,619.696.0201,"0,1",Yes,150.0,Seniors 62+,"Columbia Tower, 904 State St, 92101, San Diego, California",32.7148506,-117.1667771
Cornerstone Apts,3604 Van Dyke,92105,619.521.1263,"2,",Yes,7.0,,"Cornerstone Apts, 3604 Van Dyke, 92105, San Diego, California",32.7442323,-117.1035113
Coronado Terrace I & II,1183 25th St,92154,619.423.5804,"2,3",Yes,312.0,,"Coronado Terrace I & II, 1183 25th St, 92154, San Diego, California",32.5754013,-117.0780751
Courtyard Terraces,4321 52nd St,92105,619.265.8536,"1,2",Yes,88.0,Seniors 55+,"Courtyard Terraces, 4321 52nd St, 92105, San Diego, California",32.7554998,-117.0830328
Crandall Apts,2154 Garston St,92111,858.279.6060,"2,3",Yes,144.0,,"Crandall Apts, 2154 Garston St, 92111, San Diego, California",32.78356,-117.1661157
Creekside Trails,2129 Coronado Ave,92154,619.869.7023,"1,2,3",Yes,49.0,LargeFamilies,"Creekside Trails, 2129 Coronado Ave, 92154, San Diego, California",32.5760903,-117.0869539
Creekside Village Apts,220 47 St,92102,619.263.2686,"2,4",Yes,144.0,,"Creekside Village Apts, 220 47 St, 92102, San Diego, California",32.7070716,-117.0944856
Del Prado Apts,3878 Beyer Blvd,92173,619.428.6003,"1,2,3",Yes,59.0,,"Del Prado Apts, 3878 Beyer Blvd, 92173, San Diego, California",32.5600559,-117.0505037
Delta Manor,4245 Delta St,92113,619.266.8395,"1,2,3",No,21.0,,"Delta Manor, 4245 Delta St, 92113, San Diego, California",32.6885601,-117.1031269
Derby Terrace Apts**,14103 Old Camino Real #7,92130,858.847.0221,"2,",Yes,23.0,,"Derby Terrace Apts**, 14103 Old Camino Real #7, 92130, San Diego, California",32.9712995,-117.2317396
Domain Apts,8796 Spectrum Ctr Blvd,92123,858.292.1111,"1,2",No,35.0,,"Domain Apts, 8796 Spectrum Ctr Blvd, 92123, San Diego, California",32.8277288,-117.1380638
El Pedregal,104 Averil Rd,92173,619.428.1400,"3,4",No,45.0,LargeFamilies,"El Pedregal, 104 Averil Rd, 92173, San Diego, California",32.5564436,-117.0539857
Entrada Apts,453 13th St,92101,619.235.4404,"0,1,2",No,40.0,,"Entrada Apts, 453 13th St, 92101, San Diego, California",32.7102132,-117.152567
Euclid Avenue Apts,4115 Euclid Ave,92105,619.276.6271,"1,2,3",No,12.0,,"Euclid Avenue Apts, 4115 Euclid Ave, 92105, San Diego, California",32.7508219,-117.0924818
Euclid Court Apts,4217-4231 Euclid Ave,92105,619.584.1535,"0,1,2",Yes,11.0,,"Euclid Court Apts, 4217-4231 Euclid Ave, 92105, San Diego, California",32.730927,-117.0897467
Fairbanks Commons,15870 Camino San Bernardo,92127,858.649.6176,"1,2,3",Yes,165.0,,"Fairbanks Commons, 15870 Camino San Bernardo, 92127, San Diego, California",33.0145736,-117.1259899
Fairbanks Ridge Apts,16016 Babcock St,92127,858.720.8312,"1,2,3",Yes,204.0,,"Fairbanks Ridge Apts, 16016 Babcock St, 92127, San Diego, California",33.0203037,-117.1334473
Fairbanks Square Apts,16050 Potomac Ridge Rd,92127,858.367.8729,"1,2",Yes,98.0,Seniors 55+,"Fairbanks Square Apts, 16050 Potomac Ridge Rd, 92127, San Diego, California",33.0165481,-117.1239166
Fairbanks Terrace,16325 Paseo Del Sur,92127,760.456.6000,"1,2",No,82.0,Seniors 62+,"Fairbanks Terrace, 16325 Paseo Del Sur, 92127, San Diego, California",33.0188459,-117.1246399
Gateway Family Housing,1605 Logan Ave,92113,619.238.5223,"2,3",Yes,41.0,,"Gateway Family Housing, 1605 Logan Ave, 92113, San Diego, California",32.7044456,-117.149167
Golden Age Garden Apts,740 S 36th St,92113,619.231.7833,"1,",Yes,75.0,Seniors 62+,"Golden Age Garden Apts, 740 S 36th St, 92113, San Diego, California",32.6987155,-117.1173649
