CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,Email,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,AdmEmail,LastUpDate
37103710000000,0691030,No Data,Active,San Diego,San Diego County Office of Education,No Data,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,(858) 292-3500,No Data,(858) 292-3653,paul.gothold@sdcoe.net,http://www.sdcoe.net,No Data,No Data,No Data,No Data,No Data,00,County Office of Education (COE),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,32.771468,-117.17930,Paul,Gothold,paul.gothold@sdcoe.net,44124
37103710108548,0691030,11385,Active,San Diego,San Diego County Office of Education,Iftin Charter,5465 El Cajon Boulevard,5465 El Cajon Blvd.,San Diego,92115-3620,CA,5465 El Cajon Boulevard,5465 El Cajon Blvd.,San Diego,92115-3620,CA,(619) 265-2411,No Data,(619) 265-2484,info@iftincharter.net,http://www.iftincharter.net,38965,No Data,Y,0680,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601527,32.757908,-117.07814,Maslah,Yussuf,yussuf@iftincharter.net,44148
37103710115998,0691030,12159,Active,San Diego,San Diego County Office of Education,San Pasqual Academy,17701 San Pasqual Valley Road,17701 San Pasqual Valley Rd.,Escondido,92025-5301,CA,17701 San Pasqual Valley Road,17701 San Pasqual Valley Rd.,Escondido,92025-5301,CA,(760) 233-6003,No Data,(760) 233-6018,suzanne.miyasaki@sdcoe.net,http://www.sanpasqualacademy.org,39264,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,9-12,9-12,C,N,Y,No Data,33.090580,-116.95009,Suzanne,Miyasaki,suzanne.miyasaki@sdcoe.net,44482
37103710120485,0691030,12550,Active,San Diego,San Diego County Office of Education,Davila Day,540 G Street,540 G St.,Chula Vista,91910-3604,CA,540 G Street,540 G St.,Chula Vista,91910-3604,CA,(619) 427-5626,No Data,(619) 427-0561,heidi.lyon@sdcoe.net,No Data,40021,No Data,N,No Data,No Data,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEM,Elementary,P-8,K-6,N,N,Y,No Data,32.635041,-117.08832,Heidi,Lyon,heidi.lyon@sdcoe.net,44582
37103710120493,0691030,12496,Active,San Diego,San Diego County Office of Education,Monarch,1625 Newton Avenue,1625 Newton Ave.,San Diego,92113-1012,CA,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7399,CA,(619) 652-4100,No Data,(619) 233-3458,No Data,http://www.monarchschools.org,39995,No Data,N,No Data,No Data,00,County Office of Education (COE),10,County Community,COMM,County Community School,ELEMHIGH,Elementary-High Combination,K-12,K-12,C,N,Y,No Data,32.702375,-117.15045,Dyane,Plumly,dplumly@sdcoe.net,44482
37103710124321,0691030,12866,Active,San Diego,San Diego County Office of Education,Howard Gardner Community Charter,647 E Street,647 E St.,Chula Vista,91910-2119,CA,647 E Street,647 E St.,Chula Vista,91910-2119,CA,(619) 934-0300,No Data,(619) 207-0300,dtaylor@hgcschool.org,http://www.hgcschool.org,41122,No Data,Y,1308,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,Y,0601520,32.641093,-117.09543,Danielle,Taylor,dtaylor@hgcschool.org,44482
37103710128520,0691030,13682,Active,San Diego,San Diego County Office of Education,San Diego County Community,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,(858) 290-5852,No Data,(858) 279-0675,gretchen.rhoads@sdcoe.net,http://www.sdcoe.net,41456,No Data,N,No Data,No Data,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,K-12,8-12,C,N,Y,No Data,32.769578,-117.17984,Gretchen,Rhoads,gretchen.rhoads@sdcoe.net,44482
37103710128538,0691030,13693,Active,San Diego,San Diego County Office of Education,San Diego County Court,2801 Meadow Lark Drive,2801 Meadow Lark Dr.,San Diego,92123,CA,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,(858) 694-4686,No Data,(858) 694-4613,joanne.finney@sdcoe.net,http://www.sdcoe.net/jccs,41456,No Data,N,No Data,No Data,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,9-12,C,N,Y,No Data,32.794147,-117.15396,Joanne,Finney,joanne.finney@sdcoe.net,44482
37103710134577,0691030,14028,Active,San Diego,San Diego County Office of Education,Audeo Charter II,"3821 Plaza Drive, Suite 402","3821 Plaza Drive, Ste. 402",Oceanside,92056-4605,CA,10170 Huennekens Street,10170 Huennekens St.,San Diego,92121-2964,CA,(858) 678-2050,No Data,(760) 639-6484,info@audeo2.com,http://www.audeo2.com,42625,No Data,Y,1835,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,6-12,N,N,Y,0601855,33.180779,-117.29137,Tim,Tuter,ttuter@altusschools.net,44438
37103710135202,0691030,14068,Active,San Diego,San Diego County Office of Education,HOPE Infant-Toddler Special Education,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,(858) 292-3801,No Data,(858) 569-5394,earlyeducation@sdcoe.net,No Data,42552,No Data,N,No Data,No Data,00,County Office of Education (COE),08,Preschool,SPEC,Special Education School,PS,Preschool,P,No Data,N,No Data,Y,No Data,32.769578,-117.17984,Lucia,Garay,lgaray@sdcoe.net,43173
37103710136085,0691030,14079,Active,San Diego,San Diego County Office of Education,Scholarship Prep - Oceanside,4070 Mission Avenue,4070 Mission Ave.,Oceanside,92057-6402,CA,4070 Mission Avenue,4070 Mission Ave.,Oceanside,92057-6402,CA,(442) 262-3249,No Data,No Data,jwatts@scholarshipschools.org,http://scholarshipschools.org/,42976,No Data,Y,1883,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,0601600,33.232373,-117.31700,Jason,Watts,jwatts@scholarshipschools.org,44302
